,estado,anio,porc_pob_3_21_no_asist_sin_oblig,porc_pob_16mas_sin_secu,porc_pob_16mas_sin_prim,porc_tasa_inasistencia_3_15,porc_tasa_inasistencia_16_21,porc_seg_aliment,porc_inseg_aliment_leve,porc_inseg_aliment_mode,porc_inseg_aliment_seve,porc_limit_consumo,porc_carencia_menor18_x,porc_carencia_menor18_y,porc_carencia_6_11_x,porc_carencia_12_17_x,porc_carencia_menor18,porc_carencia_6_11_y,porc_carencia_12_17_y
0,Aguascalientes,2016,15.1,13.9,20.0,9.7,45.9,65.5,17.3,9.6,7.6,1.6,227.6,227.6,7.6,227.6,227.6,7.6,227.6
1,Aguascalientes,2018,15.7,11.8,20.0,9.4,50.2,72.3,14.7,7.4,5.6,1.3,202.5,202.5,5.6,202.5,202.5,5.6,202.5
2,Aguascalientes,2020,17.0,10.6,18.2,10.0,54.7,67.0,15.5,9.9,7.5,1.5,222.7,222.7,7.5,222.7,222.7,7.5,222.7
3,Aguascalientes,2022,18.0,10.1,18.4,9.3,60.7,72.2,12.6,7.7,7.5,1.1,187.3,187.3,7.5,187.3,187.3,7.5,187.3
4,Baja California,2016,12.9,15.3,15.6,10.1,28.4,72.7,12.3,8.7,6.2,2.1,446.1,446.1,6.2,446.1,446.1,6.2,446.1
5,Baja California,2018,16.1,16.0,17.4,11.4,40.9,74.9,11.0,7.9,6.3,1.0,411.7,411.7,6.3,411.7,411.7,6.3,411.7
6,Baja California,2020,17.8,14.2,16.4,11.3,51.3,71.1,16.3,8.0,4.6,1.4,614.9,614.9,4.6,614.9,614.9,4.6,614.9
7,Baja California,2022,15.7,14.0,15.5,11.2,46.2,83.1,8.0,5.6,3.2,1.4,307.4,307.4,3.2,307.4,307.4,3.2,307.4
8,Baja California Sur,2016,11.6,14.4,17.7,8.5,30.6,64.4,16.4,11.4,7.8,2.0,118.6,118.6,7.8,118.6,118.6,7.8,118.6
9,Baja California Sur,2018,12.1,13.9,16.2,7.7,36.0,66.5,15.7,10.3,7.5,1.6,119.3,119.3,7.5,119.3,119.3,7.5,119.3
10,Baja California Sur,2020,12.1,12.4,18.4,7.2,43.0,59.8,17.5,13.8,8.9,1.7,141.8,141.8,8.9,141.8,141.8,8.9,141.8
11,Baja California Sur,2022,12.3,11.2,16.8,7.3,43.0,74.5,11.9,7.9,5.8,1.3,99.9,99.9,5.8,99.9,99.9,5.8,99.9
12,Campeche,2016,11.2,14.6,27.5,6.9,33.7,52.6,21.8,14.9,10.7,5.6,187.0,187.0,10.7,187.0,187.0,10.7,187.0
13,Campeche,2018,16.7,14.7,27.6,10.8,44.7,52.0,20.6,16.0,11.5,4.4,180.8,180.8,11.5,180.8,180.8,11.5,180.8
14,Campeche,2020,15.1,14.7,26.7,8.9,47.9,53.2,22.3,15.5,9.0,3.7,208.4,208.4,9.0,208.4,208.4,9.0,208.4
15,Campeche,2022,15.0,14.9,28.9,8.6,51.7,63.4,16.6,10.5,9.5,3.8,157.4,157.4,9.5,157.4,157.4,9.5,157.4
16,Chiapas,2016,16.1,33.5,47.4,10.9,47.7,51.0,29.6,13.1,6.3,5.6,"1,532.4","1,532.4",6.3,"1,532.4","1,532.4",6.3,"1,532.4"
17,Chiapas,2018,20.2,34.0,48.6,13.0,55.3,47.8,29.8,14.6,7.8,4.8,"1,593.8","1,593.8",7.8,"1,593.8","1,593.8",7.8,"1,593.8"
18,Chiapas,2020,21.5,34.4,47.2,13.5,62.8,51.4,27.4,12.3,8.8,5.0,"1,532.8","1,532.8",8.8,"1,532.8","1,532.8",8.8,"1,532.8"
19,Chiapas,2022,19.6,35.9,45.0,13.2,61.7,56.4,26.4,12.0,5.2,4.8,"1,502.8","1,502.8",5.2,"1,502.8","1,502.8",5.2,"1,502.8"
20,Chihuahua,2016,14.9,16.1,21.8,11.1,38.1,63.4,18.4,9.8,8.3,1.0,662.9,662.9,8.3,662.9,662.9,8.3,662.9
21,Chihuahua,2018,17.5,15.2,19.9,12.2,46.6,68.6,13.7,9.4,8.3,1.0,502.6,502.6,8.3,502.6,502.6,8.3,502.6
22,Chihuahua,2020,17.9,13.2,17.2,12.7,49.9,73.7,13.3,6.8,6.2,0.8,501.7,501.7,6.2,501.7,501.7,6.2,501.7
23,Chihuahua,2022,18.0,12.6,15.6,12.2,50.4,80.1,10.5,4.9,4.4,0.6,400.6,400.6,4.4,400.6,400.6,4.4,400.6
24,Ciudad de México,2016,7.4,7.1,11.1,4.8,20.1,74.2,14.3,7.2,4.3,2.8,"1,305.9","1,305.9",4.3,"1,305.9","1,305.9",4.3,"1,305.9"
25,Ciudad de México,2018,10.2,6.8,10.9,5.6,30.4,73.3,12.8,9.5,4.4,2.1,"1,177.0","1,177.0",4.4,"1,177.0","1,177.0",4.4,"1,177.0"
26,Ciudad de México,2020,10.2,6.3,10.5,7.0,29.4,64.7,19.3,10.4,5.6,2.9,"1,784.8","1,784.8",5.6,"1,784.8","1,784.8",5.6,"1,784.8"
27,Ciudad de México,2022,9.7,6.6,9.5,5.2,33.1,77.0,13.3,6.1,3.6,2.6,"1,236.7","1,236.7",3.6,"1,236.7","1,236.7",3.6,"1,236.7"
28,Coahuila de Zaragoza,2016,13.3,11.0,17.6,8.6,38.7,67.9,16.0,9.1,7.0,1.1,473.1,473.1,7.0,473.1,473.1,7.0,473.1
29,Coahuila de Zaragoza,2018,16.6,9.6,16.7,10.2,49.3,67.7,14.0,10.2,8.1,0.6,428.5,428.5,8.1,428.5,428.5,8.1,428.5
30,Coahuila de Zaragoza,2020,16.3,9.1,15.9,9.0,56.3,68.4,16.4,9.0,6.2,0.6,519.0,519.0,6.2,519.0,519.0,6.2,519.0
31,Coahuila de Zaragoza,2022,15.8,8.6,12.7,9.9,53.0,75.5,11.9,7.2,5.4,0.9,391.0,391.0,5.4,391.0,391.0,5.4,391.0
32,Colima,2016,10.0,16.7,24.2,6.6,32.1,61.3,17.6,12.7,8.4,1.6,123.1,123.1,8.4,123.1,123.1,8.4,123.1
33,Colima,2018,14.1,15.9,24.9,8.7,41.5,62.0,16.3,12.7,8.9,2.6,118.1,118.1,8.9,118.1,118.1,8.9,118.1
34,Colima,2020,16.5,14.1,21.6,9.2,52.0,66.9,16.5,8.8,7.8,1.7,121.1,121.1,7.8,121.1,121.1,7.8,121.1
35,Colima,2022,13.5,13.2,18.7,7.6,46.5,74.5,12.3,8.4,4.8,1.1,94.6,94.6,4.8,94.6,94.6,4.8,94.6
36,Durango,2016,14.0,12.6,21.8,9.2,40.0,62.4,19.0,10.8,7.8,0.5,332.9,332.9,7.8,332.9,332.9,7.8,332.9
37,Durango,2018,16.2,11.9,21.3,8.7,52.5,66.6,14.7,11.0,7.8,0.5,262.9,262.9,7.8,262.9,262.9,7.8,262.9
38,Durango,2020,16.1,10.7,22.7,8.1,58.0,63.1,18.2,10.7,8.0,0.6,337.1,337.1,8.0,337.1,337.1,8.0,337.1
39,Durango,2022,16.6,12.9,20.9,9.2,58.5,62.0,18.2,10.8,9.0,1.0,339.9,339.9,9.0,339.9,339.9,9.0,339.9
40,Estados Unidos Mexicanos,2016,12.3,17.3,25.8,8.1,35.9,59.5,20.6,11.9,8.1,3.5,"24,857.9","24,857.9",8.1,"24,857.9","24,857.9",8.1,"24,857.9"
41,Estados Unidos Mexicanos,2018,15.6,16.7,25.3,8.9,47.6,60.5,19.2,12.0,8.3,3.5,"23,815.5","23,815.5",8.3,"23,815.5","23,815.5",8.3,"23,815.5"
42,Estados Unidos Mexicanos,2020,16.7,16.0,24.3,9.9,51.7,57.8,21.5,12.7,8.1,3.6,"27,205.1","27,205.1",8.1,"27,205.1","27,205.1",8.1,"27,205.1"
43,Estados Unidos Mexicanos,2022,15.9,16.6,23.7,9.2,52.1,66.1,17.7,9.9,6.4,3.5,"22,778.2","22,778.2",6.4,"22,778.2","22,778.2",6.4,"22,778.2"
44,Guanajuato,2016,14.6,20.9,30.8,9.0,43.7,60.4,19.9,11.5,8.3,2.5,"1,180.1","1,180.1",8.3,"1,180.1","1,180.1",8.3,"1,180.1"
45,Guanajuato,2018,18.6,20.1,30.3,10.2,57.7,62.5,16.8,12.0,8.7,2.7,"1,020.3","1,020.3",8.7,"1,020.3","1,020.3",8.7,"1,020.3"
46,Guanajuato,2020,21.6,17.4,29.3,10.7,63.7,56.4,20.9,13.2,9.6,3.8,"1,293.8","1,293.8",9.6,"1,293.8","1,293.8",9.6,"1,293.8"
47,Guanajuato,2022,20.2,17.4,28.1,10.9,62.0,65.7,17.1,10.4,6.9,1.8,"1,071.1","1,071.1",6.9,"1,071.1","1,071.1",6.9,"1,071.1"
48,Guerrero,2016,11.6,26.7,41.1,6.2,41.3,45.7,26.5,16.6,11.3,4.9,919.7,919.7,11.3,919.7,919.7,11.3,919.7
49,Guerrero,2018,14.7,26.4,39.5,6.9,48.5,36.3,28.1,20.5,15.1,7.8,984.8,984.8,15.1,984.8,984.8,15.1,984.8
50,Guerrero,2020,14.5,27.3,41.4,7.4,50.2,37.4,29.3,21.3,12.1,5.8,"1,041.2","1,041.2",12.1,"1,041.2","1,041.2",12.1,"1,041.2"
51,Guerrero,2022,17.2,29.6,42.4,8.7,56.2,45.7,25.8,17.5,10.9,6.3,929.7,929.7,10.9,929.7,929.7,10.9,929.7
52,Hidalgo,2016,10.7,16.9,31.7,7.2,34.7,49.5,26.0,16.4,8.0,6.0,766.2,766.2,8.0,766.2,766.2,8.0,766.2
53,Hidalgo,2018,13.5,13.8,29.7,7.0,44.4,53.7,23.5,14.4,8.3,8.0,715.5,715.5,8.3,715.5,715.5,8.3,715.5
54,Hidalgo,2020,13.7,13.1,27.8,7.0,47.8,50.4,24.3,16.1,9.2,5.9,751.2,751.2,9.2,751.2,751.2,9.2,751.2
55,Hidalgo,2022,15.1,14.7,27.9,8.3,50.2,64.2,20.6,8.3,6.9,6.9,650.7,650.7,6.9,650.7,650.7,6.9,650.7
56,Jalisco,2016,13.9,16.8,23.5,9.2,40.6,67.0,17.6,10.0,5.4,1.3,"1,401.9","1,401.9",5.4,"1,401.9","1,401.9",5.4,"1,401.9"
57,Jalisco,2018,18.2,16.9,24.1,11.3,52.2,69.9,15.0,9.0,6.1,1.6,"1,236.6","1,236.6",6.1,"1,236.6","1,236.6",6.1,"1,236.6"
58,Jalisco,2020,18.9,15.0,21.2,11.8,51.8,67.8,17.9,8.7,5.6,1.0,"1,501.1","1,501.1",5.6,"1,501.1","1,501.1",5.6,"1,501.1"
59,Jalisco,2022,19.5,18.3,21.4,11.8,54.8,72.1,14.7,8.9,4.3,1.3,"1,248.2","1,248.2",4.3,"1,248.2","1,248.2",4.3,"1,248.2"
60,Michoacán de Ocampo,2016,15.8,31.2,41.2,10.3,51.0,51.5,22.6,14.3,11.6,3.6,"1,012.1","1,012.1",11.6,"1,012.1","1,012.1",11.6,"1,012.1"
61,Michoacán de Ocampo,2018,19.7,28.3,36.4,10.8,61.5,57.4,21.6,13.0,8.1,3.3,"1,005.5","1,005.5",8.1,"1,005.5","1,005.5",8.1,"1,005.5"
62,Michoacán de Ocampo,2020,23.1,29.6,38.0,13.0,67.7,56.8,21.7,13.1,8.3,3.9,"1,040.6","1,040.6",8.3,"1,040.6","1,040.6",8.3,"1,040.6"
63,Michoacán de Ocampo,2022,20.7,29.2,37.0,11.9,62.8,60.0,19.1,11.7,9.2,4.3,942.6,942.6,9.2,942.6,942.6,9.2,942.6
64,Morelos,2016,12.6,15.2,23.9,8.8,33.0,57.2,23.3,13.6,5.9,3.5,445.6,445.6,5.9,445.6,445.6,5.9,445.6
65,Morelos,2018,17.1,16.1,24.6,10.0,48.2,53.7,21.7,15.5,9.1,3.1,426.0,426.0,9.1,426.0,426.0,9.1,426.0
66,Morelos,2020,17.0,13.1,21.7,10.4,53.3,53.6,23.3,14.3,8.8,2.5,460.7,460.7,8.8,460.7,460.7,8.8,460.7
67,Morelos,2022,16.0,13.9,21.0,7.7,54.3,62.5,19.9,11.0,6.6,2.0,400.0,400.0,6.6,400.0,400.0,6.6,400.0
68,México,2016,10.9,14.0,19.6,7.3,31.2,57.4,21.8,12.9,7.9,6.0,"3,594.6","3,594.6",7.9,"3,594.6","3,594.6",7.9,"3,594.6"
69,México,2018,14.0,13.5,17.6,7.9,43.1,60.1,20.0,11.8,8.0,5.6,"3,375.4","3,375.4",8.0,"3,375.4","3,375.4",8.0,"3,375.4"
70,México,2020,14.1,11.3,16.1,8.8,42.5,54.6,24.0,15.3,6.1,6.2,"4,100.9","4,100.9",6.1,"4,100.9","4,100.9",6.1,"4,100.9"
71,México,2022,14.7,13.8,18.3,8.4,47.9,63.9,19.1,10.8,6.2,6.0,"3,304.0","3,304.0",6.2,"3,304.0","3,304.0",6.2,"3,304.0"
72,Nayarit,2016,9.8,13.7,27.6,7.1,27.3,58.0,22.0,12.0,7.9,1.7,260.2,260.2,7.9,260.2,260.2,7.9,260.2
73,Nayarit,2018,15.0,13.3,28.1,9.3,47.5,63.3,17.8,10.6,8.3,2.2,217.2,217.2,8.3,217.2,217.2,8.3,217.2
74,Nayarit,2020,14.7,14.1,24.6,8.0,52.9,62.6,17.6,12.3,7.5,1.2,218.1,218.1,7.5,218.1,218.1,7.5,218.1
75,Nayarit,2022,16.2,17.0,25.7,9.3,55.4,70.4,13.0,9.4,7.3,0.8,164.3,164.3,7.3,164.3,164.3,7.3,164.3
76,Nuevo León,2016,11.0,8.6,16.4,6.3,38.2,71.3,14.3,7.5,6.9,0.7,756.5,756.5,6.9,756.5,756.5,6.9,756.5
77,Nuevo León,2018,16.7,8.7,14.6,7.5,52.0,75.0,12.8,6.7,5.4,0.4,706.2,706.2,5.4,706.2,706.2,5.4,706.2
78,Nuevo León,2020,18.5,8.5,15.0,10.3,59.2,70.9,15.0,8.0,6.1,0.9,877.4,877.4,6.1,877.4,877.4,6.1,877.4
79,Nuevo León,2022,14.5,7.8,13.3,6.7,54.2,77.7,11.4,6.7,4.2,1.1,687.7,687.7,4.2,687.7,687.7,4.2,687.7
80,Oaxaca,2016,12.2,28.6,45.4,7.4,42.2,40.8,27.8,18.6,12.7,8.1,"1,087.8","1,087.8",12.7,"1,087.8","1,087.8",12.7,"1,087.8"
81,Oaxaca,2018,17.3,25.7,45.6,8.7,55.2,42.6,29.5,16.5,11.4,7.8,"1,179.1","1,179.1",11.4,"1,179.1","1,179.1",11.4,"1,179.1"
82,Oaxaca,2020,17.8,28.1,43.8,8.8,60.5,42.5,29.1,17.5,11.0,8.6,"1,211.3","1,211.3",11.0,"1,211.3","1,211.3",11.0,"1,211.3"
83,Oaxaca,2022,17.9,26.7,41.3,9.3,59.3,50.5,26.4,15.2,7.9,8.5,"1,122.1","1,122.1",7.9,"1,122.1","1,122.1",7.9,"1,122.1"
84,Puebla,2016,12.3,22.2,30.2,7.9,35.6,57.1,22.8,12.2,7.9,5.9,"1,438.7","1,438.7",7.9,"1,438.7","1,438.7",7.9,"1,438.7"
85,Puebla,2018,14.7,21.7,30.3,8.2,46.6,56.9,22.3,12.6,8.2,6.3,"1,443.6","1,443.6",8.2,"1,443.6","1,443.6",8.2,"1,443.6"
86,Puebla,2020,17.2,21.0,32.0,10.4,52.9,47.5,25.1,16.7,10.6,6.8,"1,664.4","1,664.4",10.6,"1,664.4","1,664.4",10.6,"1,664.4"
87,Puebla,2022,13.3,23.5,30.9,7.0,51.0,57.6,23.2,12.4,6.7,5.8,"1,561.0","1,561.0",6.7,"1,561.0","1,561.0",6.7,"1,561.0"
88,Querétaro,2016,13.1,14.0,20.4,8.0,37.7,67.0,19.6,8.8,4.6,2.3,422.7,422.7,4.6,422.7,422.7,4.6,422.7
89,Querétaro,2018,16.6,14.3,22.5,9.4,49.8,71.4,14.8,9.0,4.9,2.1,338.6,338.6,4.9,338.6,338.6,4.9,338.6
90,Querétaro,2020,17.5,14.0,19.1,9.8,54.4,64.3,18.7,10.1,6.9,2.8,447.8,447.8,6.9,447.8,447.8,6.9,447.8
91,Querétaro,2022,17.4,13.0,19.9,9.4,58.6,74.1,14.6,7.4,4.0,2.5,360.2,360.2,4.0,360.2,360.2,4.0,360.2
92,Quintana Roo,2016,12.8,14.1,22.1,9.4,33.3,64.4,19.2,9.9,6.5,4.1,325.7,325.7,6.5,325.7,325.7,6.5,325.7
93,Quintana Roo,2018,15.4,14.8,22.5,8.6,48.8,65.1,17.0,10.0,7.9,4.0,307.6,307.6,7.9,307.6,307.6,7.9,307.6
94,Quintana Roo,2020,15.7,13.6,22.8,9.4,49.2,46.6,26.2,15.7,11.6,3.7,492.0,492.0,11.6,492.0,492.0,11.6,492.0
95,Quintana Roo,2022,13.6,13.0,21.0,8.7,44.4,70.0,17.3,8.0,4.7,3.3,331.0,331.0,4.7,331.0,331.0,4.7,331.0
96,San Luis Potosí,2016,10.9,16.4,28.3,6.0,39.8,59.4,20.5,11.6,8.5,2.3,565.7,565.7,8.5,565.7,565.7,8.5,565.7
97,San Luis Potosí,2018,14.6,14.6,29.2,6.6,49.2,64.7,18.4,10.1,6.9,2.3,515.2,515.2,6.9,515.2,515.2,6.9,515.2
98,San Luis Potosí,2020,14.8,15.1,26.8,6.8,54.2,60.2,22.0,10.5,7.3,2.5,623.6,623.6,7.3,623.6,623.6,7.3,623.6
99,San Luis Potosí,2022,16.8,15.3,27.1,7.3,64.8,69.6,17.2,7.7,5.5,1.5,494.0,494.0,5.5,494.0,494.0,5.5,494.0
100,Sinaloa,2016,10.1,13.8,24.4,7.2,27.3,58.1,19.1,12.0,10.7,0.8,562.2,562.2,10.7,562.2,562.2,10.7,562.2
101,Sinaloa,2018,11.6,14.7,26.4,6.7,41.4,53.8,21.7,13.8,10.8,0.6,650.3,650.3,10.8,650.3,650.3,10.8,650.3
102,Sinaloa,2020,11.4,12.5,24.6,7.0,41.3,59.4,18.6,12.5,9.5,0.4,565.8,565.8,9.5,565.8,565.8,9.5,565.8
103,Sinaloa,2022,12.9,12.8,23.4,7.5,46.7,66.7,16.2,9.5,7.6,0.4,499.3,499.3,7.6,499.3,499.3,7.6,499.3
104,Sonora,2016,11.5,9.6,18.5,8.3,29.2,63.3,15.7,10.7,10.3,0.7,447.6,447.6,10.3,447.6,447.6,10.3,447.6
105,Sonora,2018,16.2,8.9,16.7,8.8,50.1,62.9,15.6,11.8,9.8,1.3,452.6,452.6,9.8,452.6,452.6,9.8,452.6
106,Sonora,2020,17.5,9.3,18.4,10.9,52.5,60.6,17.3,11.2,10.9,0.8,512.2,512.2,10.9,512.2,512.2,10.9,512.2
107,Sonora,2022,14.6,9.6,16.0,8.7,51.3,65.1,15.7,10.4,8.8,1.2,470.0,470.0,8.8,470.0,470.0,8.8,470.0
108,Tabasco,2016,9.7,12.9,29.2,5.3,34.6,34.1,20.6,21.4,23.9,10.0,480.8,480.8,23.9,480.8,480.8,23.9,480.8
109,Tabasco,2018,11.0,14.5,28.7,5.1,42.2,34.4,18.8,22.5,24.3,11.4,445.5,445.5,24.3,445.5,445.5,24.3,445.5
110,Tabasco,2020,10.7,13.6,24.9,5.4,40.5,41.5,17.7,19.5,21.4,8.6,426.8,426.8,21.4,426.8,426.8,21.4,426.8
111,Tabasco,2022,12.1,12.9,26.5,6.2,48.1,47.6,18.0,16.5,17.9,10.4,439.9,439.9,17.9,439.9,439.9,17.9,439.9
112,Tamaulipas,2016,13.3,11.3,21.1,10.2,30.9,60.4,20.3,12.7,6.6,1.0,696.2,696.2,6.6,696.2,696.2,6.6,696.2
113,Tamaulipas,2018,13.3,11.5,22.6,8.7,41.5,68.9,14.4,9.9,6.9,0.9,501.8,501.8,6.9,501.8,501.8,6.9,501.8
114,Tamaulipas,2020,15.6,10.9,19.5,11.2,47.1,71.1,15.0,7.5,6.4,0.4,529.6,529.6,6.4,529.6,529.6,6.4,529.6
115,Tamaulipas,2022,16.4,9.8,19.4,10.6,48.3,73.6,14.3,7.4,4.7,0.8,512.9,512.9,4.7,512.9,512.9,4.7,512.9
116,Tlaxcala,2016,11.0,13.4,19.2,7.3,34.1,55.0,22.9,13.8,8.3,5.9,291.1,291.1,8.3,291.1,291.1,8.3,291.1
117,Tlaxcala,2018,15.4,14.3,19.4,7.8,50.9,57.5,22.2,12.8,7.4,7.2,289.8,289.8,7.4,289.8,289.8,7.4,289.8
118,Tlaxcala,2020,15.2,13.2,19.5,7.3,54.2,47.1,25.8,15.9,11.3,11.8,347.7,347.7,11.3,347.7,347.7,11.3,347.7
119,Tlaxcala,2022,13.0,14.5,19.3,7.7,46.1,59.4,21.9,10.4,8.4,8.6,300.0,300.0,8.4,300.0,300.0,8.4,300.0
120,Veracruz de Ignacio de la Llave,2016,13.3,26.7,39.0,9.5,34.1,51.6,26.2,12.6,9.6,2.8,"2,054.2","2,054.2",9.6,"2,054.2","2,054.2",9.6,"2,054.2"
121,Veracruz de Ignacio de la Llave,2018,15.4,25.6,38.1,9.4,46.3,45.0,28.1,15.8,11.2,3.4,"2,227.4","2,227.4",11.2,"2,227.4","2,227.4",11.2,"2,227.4"
122,Veracruz de Ignacio de la Llave,2020,18.9,26.6,37.5,13.0,51.5,49.2,27.6,13.8,9.3,3.1,"2,238.2","2,238.2",9.3,"2,238.2","2,238.2",9.3,"2,238.2"
123,Veracruz de Ignacio de la Llave,2022,15.6,22.7,35.7,9.8,48.8,57.2,22.9,12.1,7.8,3.1,"1,881.0","1,881.0",7.8,"1,881.0","1,881.0",7.8,"1,881.0"
124,Yucatán,2016,11.6,17.9,33.3,5.8,38.9,60.7,20.0,12.6,6.7,4.4,435.9,435.9,6.7,435.9,435.9,6.7,435.9
125,Yucatán,2018,13.5,16.7,33.3,6.0,44.0,60.3,20.3,13.1,6.3,3.0,457.5,457.5,6.3,457.5,457.5,6.3,457.5
126,Yucatán,2020,15.8,16.3,31.7,6.9,53.3,54.0,23.1,15.4,7.5,3.3,540.5,540.5,7.5,540.5,540.5,7.5,540.5
127,Yucatán,2022,12.3,18.4,29.3,5.4,45.1,68.6,17.8,9.4,4.2,2.7,423.6,423.6,4.2,423.6,423.6,4.2,423.6
128,Zacatecas,2016,12.1,15.6,29.2,7.0,42.6,65.9,19.0,8.6,6.4,1.7,302.9,302.9,6.4,302.9,302.9,6.4,302.9
129,Zacatecas,2018,17.2,14.8,30.5,8.3,56.3,63.4,19.9,9.9,6.7,1.4,321.8,321.8,6.7,321.8,321.8,6.7,321.8
130,Zacatecas,2020,20.0,14.6,29.3,11.6,64.1,62.9,20.6,8.8,7.6,1.7,336.1,336.1,7.6,336.1,336.1,7.6,336.1
131,Zacatecas,2022,16.8,16.4,26.5,9.6,57.7,68.0,16.3,8.3,7.5,1.6,267.3,267.3,7.5,267.3,267.3,7.5,267.3
